  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
N15     7   15  1.0337E+00  9.1193E-01  3.0481E-01  1.8498E-01  1.9940E-01  1.9053E-01  1.9229E-01  1.8028E-01  1.9396E-01
O16     8   16  2.0884E+01  2.3699E+01  2.6105E+01  2.8165E+01  9.6675E-01  9.1235E-01  9.7525E-01  1.1015E+00  6.4216E-01
O17     8   17  2.3743E+00  1.4688E+00  1.7887E+00  1.4476E+00  6.5959E-01  5.5357E-01  4.0727E-01  3.3818E-01  2.9314E-01
O18     8   18  7.2959E+00  4.9043E-01  3.1432E-01  2.7619E-01  3.4238E-01  2.6963E-01  2.5054E-01  2.1065E-01  2.6638E-01
F19     9   19  2.6036E+00  9.0780E+01  1.2868E+01  1.3933E+00  4.8800E-01  5.1287E-01  9.4761E-01  4.8584E-01  5.5680E-01
Ne20   10   20  2.6982E+00  3.7001E+00  5.3770E+00  1.3842E+01  9.7602E-01  9.7190E-01  9.6683E-01  9.6366E-01  9.5430E-01
Ne21   10   21  7.1884E+00  1.1609E+01  1.2547E+01  1.1517E+01  2.0880E+00  1.7078E+00  1.2217E+00  9.9203E-01  6.1982E-01
Ne22   10   22  2.2067E+01  2.3717E+01  1.6997E+01  1.8585E+01  5.4552E+00  7.0804E+00  1.2405E+01  1.4753E+01  1.3643E+01
Na23   11   23  4.5737E+00  4.3931E+00  5.9853E+00  1.1000E+01  4.0623E+00  4.5418E+00  4.9636E+00  5.2701E+00  5.6698E+00
Mg24   12   24  2.2663E+00  2.0651E+00  3.7829E+00  7.9890E+00  1.0002E+00  1.0001E+00  9.9989E-01  1.0008E+00  1.0012E+00
Mg25   12   25  5.2685E+00  1.2759E+01  1.0396E+01  1.1291E+01  4.5247E-01  3.8300E-01  3.4281E-01  3.3167E-01  2.7686E-01
Mg26   12   26  4.8191E+00  8.6621E+00  8.0547E+00  8.9037E+00  1.3999E+00  1.4491E+00  1.4701E+00  1.4889E+00  1.4047E+00
Al27   13   27  2.9581E+00  2.8346E+00  4.5443E+00  1.0411E+01  1.1885E+00  1.2281E+00  1.3149E+00  1.3807E+00  1.5587E+00
Si28   14   28  2.7550E+01  1.2667E+01  3.8502E+01  3.1624E+01  1.0001E+00  1.0001E+00  1.0002E+00  1.0004E+00  1.0006E+00
